texture,rank,beta,alpha,max_iter,phase_iter,phase_method,sdr,sir,sar,mci,bark_entropy,reconstruction_error
rainforest,8,1,0.1,100,50,fast_griffin_lim,21.07306,21.07306,21.073116,-2.7143967,0.1633431,1.7129955
rainforest,8,1,0.1,300,50,griffin_lim,21.07306,21.07306,21.073116,-2.7143967,0.1633431,1.7129955
rainforest,8,1,0.1,300,50,fast_griffin_lim,21.07306,21.07306,21.073116,-2.7143967,0.1633431,1.7129955
rainforest,8,2,0.0,100,50,griffin_lim,27.762358,27.762358,27.762394,-0.9269296,0.1633431,0.026165104
rainforest,8,2,0.0,100,50,fast_griffin_lim,27.762358,27.762358,27.762394,-0.9269296,0.1633431,0.026165104
rainforest,8,2,0.0,300,50,griffin_lim,27.859013,27.859013,27.859047,-0.9253759,0.1633431,0.02558888
rainforest,8,2,0.0,300,50,fast_griffin_lim,27.859013,27.859013,27.859047,-0.9253759,0.1633431,0.02558888
rainforest,8,2,0.1,100,50,griffin_lim,21.187115,21.187115,21.186897,42.505215,0.1633431,0.11878701
rainforest,8,2,0.1,100,50,fast_griffin_lim,21.187115,21.187115,21.186897,42.505215,0.1633431,0.11878701
rainforest,8,2,0.1,300,50,griffin_lim,21.200323,21.200323,21.200106,42.11648,0.1633431,0.11843185
rainforest,8,2,0.1,300,50,fast_griffin_lim,21.200323,21.200323,21.200106,42.11648,0.1633431,0.11843185
rainforest,16,0,0.0,100,50,griffin_lim,27.747133,27.747133,27.747173,-0.9161327,0.1633431,0.026277013
rainforest,16,0,0.0,100,50,fast_griffin_lim,27.747133,27.747133,27.747173,-0.9161327,0.1633431,0.026277013
rainforest,16,0,0.0,300,50,griffin_lim,28.066986,28.066986,28.06702,-0.8703136,0.1633431,0.024398405
rainforest,16,0,0.0,300,50,fast_griffin_lim,28.066986,28.066986,28.06702,-0.8703136,0.1633431,0.024398405
rainforest,16,0,0.1,100,50,griffin_lim,21.119152,21.119152,21.119204,-2.3695965,0.1633431,1.5204581
rainforest,16,0,0.1,100,50,fast_griffin_lim,21.119152,21.119152,21.119204,-2.3695965,0.1633431,1.5204581
rainforest,16,0,0.1,300,50,griffin_lim,21.119152,21.119152,21.119204,-2.3695965,0.1633431,1.5204581
rainforest,16,0,0.1,300,50,fast_griffin_lim,21.119152,21.119152,21.119204,-2.3695965,0.1633431,1.5204581
rainforest,16,1,0.0,100,50,griffin_lim,27.747133,27.747133,27.747173,-0.9161327,0.1633431,0.026277013
rainforest,16,1,0.0,100,50,fast_griffin_lim,27.747133,27.747133,27.747173,-0.9161327,0.1633431,0.026277013
rainforest,16,1,0.0,300,50,griffin_lim,28.066986,28.066986,28.06702,-0.8703136,0.1633431,0.024398405
rainforest,16,1,0.0,300,50,fast_griffin_lim,28.066986,28.066986,28.06702,-0.8703136,0.1633431,0.024398405
rainforest,16,1,0.1,100,50,griffin_lim,21.119152,21.119152,21.119204,-2.3695965,0.1633431,1.5204581
rainforest,16,1,0.1,100,50,fast_griffin_lim,21.119152,21.119152,21.119204,-2.3695965,0.1633431,1.5204581
rainforest,16,1,0.1,300,50,griffin_lim,21.119152,21.119152,21.119204,-2.3695965,0.1633431,1.5204581
rainforest,16,1,0.1,300,50,fast_griffin_lim,21.119152,21.119152,21.119204,-2.3695965,0.1633431,1.5204581
rainforest,16,2,0.0,100,50,griffin_lim,28.84611,28.84611,28.846146,-0.8498991,0.1633431,0.02038868
rainforest,16,2,0.0,100,50,fast_griffin_lim,28.84611,28.84611,28.846146,-0.8498991,0.1633431,0.02038868
rainforest,16,2,0.0,300,50,griffin_lim,28.985695,28.985695,28.985731,-0.8540274,0.1633431,0.019743487
rainforest,16,2,0.0,300,50,fast_griffin_lim,28.985695,28.985695,28.985731,-0.8540274,0.1633431,0.019743487
rainforest,16,2,0.1,100,50,griffin_lim,21.132318,21.132318,21.132097,43.895073,0.1633431,0.120276816
rainforest,16,2,0.1,100,50,fast_griffin_lim,21.132318,21.132318,21.132097,43.895073,0.1633431,0.120276816
rainforest,16,2,0.1,300,50,griffin_lim,21.17134,21.17134,21.171122,42.937492,0.1633431,0.11921317
rainforest,16,2,0.1,300,50,fast_griffin_lim,21.17134,21.17134,21.171122,42.937492,0.1633431,0.11921317
reverberant_speech,2,0,0.0,100,50,griffin_lim,3.3524237,3.3524237,3.3524551,-2.927194,0.035953607,3.2944076
reverberant_speech,2,0,0.0,100,50,fast_griffin_lim,3.3524237,3.3524237,3.3524551,-2.927194,0.035953607,3.2944076
reverberant_speech,2,0,0.0,300,50,griffin_lim,3.3524237,3.3524237,3.3524551,-2.927194,0.035953607,3.2944076
reverberant_speech,2,0,0.0,300,50,fast_griffin_lim,3.3524237,3.3524237,3.3524551,-2.927194,0.035953607,3.2944076
reverberant_speech,2,0,0.1,100,50,griffin_lim,3.3467894,3.3467894,3.3467927,-2.9425344,0.035953607,3.4102266
reverberant_speech,2,0,0.1,100,50,fast_griffin_lim,3.3467894,3.3467894,3.3467927,-2.9425344,0.035953607,3.4102266
reverberant_speech,2,0,0.1,300,50,griffin_lim,3.3467894,3.3467894,3.3467927,-2.9425344,0.035953607,3.4102266
reverberant_speech,2,0,0.1,300,50,fast_griffin_lim,3.3467894,3.3467894,3.3467927,-2.9425344,0.035953607,3.4102266
reverberant_speech,2,1,0.0,100,50,griffin_lim,3.3524237,3.3524237,3.3524551,-2.927194,0.035953607,3.2944076
reverberant_speech,2,1,0.0,100,50,fast_griffin_lim,3.3524237,3.3524237,3.3524551,-2.927194,0.035953607,3.2944076
reverberant_speech,2,1,0.0,300,50,griffin_lim,3.3524237,3.3524237,3.3524551,-2.927194,0.035953607,3.2944076
reverberant_speech,2,1,0.0,300,50,fast_griffin_lim,3.3524237,3.3524237,3.3524551,-2.927194,0.035953607,3.2944076
reverberant_speech,2,1,0.1,100,50,griffin_lim,3.3467894,3.3467894,3.3467927,-2.9425344,0.035953607,3.4102266
reverberant_speech,2,1,0.1,100,50,fast_griffin_lim,3.3467894,3.3467894,3.3467927,-2.9425344,0.035953607,3.4102266
reverberant_speech,2,1,0.1,300,50,griffin_lim,3.3467894,3.3467894,3.3467927,-2.9425344,0.035953607,3.4102266
reverberant_speech,2,1,0.1,300,50,fast_griffin_lim,3.3467894,3.3467894,3.3467927,-2.9425344,0.035953607,3.4102266
reverberant_speech,2,2,0.0,100,50,griffin_lim,4.058485,4.058485,4.058522,-2.7214642,0.035953607,2.8548763
reverberant_speech,2,2,0.0,100,50,fast_griffin_lim,4.058485,4.058485,4.058522,-2.7214642,0.035953607,2.8548763
